user_id,rec_user_id,resolution,spath
8973188,104561939,0,0
38513845,24219945,0,4
5308960,1917541,0,0
MBK11607330,CRM27882558,0,0
21934431,103050232,0,0
75457913,81934462,0,4
6825696,26093443,0,5
2563370,91159290,0,0
90547519,46944285,0,0
MBK8254960,18941721,0,0
MBK10825442,106759230,0,4
8386933,26093443,0,4
109411572,807420,0,6
43181597,109027597,0,0
11775899,78969224,0,4
15901314,81934462,0,6
8699658,95143749,0,3
23018605,105708928,0,0
101002472,26093443,0,6
17729319,4729359,0,3
1909628,98975229,0,0
13896235,61982090,0,0
MBK13191950,MBK5764005,0,4
93165540,74463855,0,0
43684280,43969852,0,7
7197265,19716249,0,0
7634954,51576640,0,3
20074072,66384094,0,0
MBK7442785,21037519,0,0
105747480,83343100,0,0
26247450,5792957,0,5
20074072,86751172,0,0
61965893,MBK7829494,0,0
2026015,27228704,0,7
77789640,4663526,0,5
14346960,93056279,0,5
48149078,59167090,0,0
2026015,27228704,0,7
8645733,81421381,1,5
91707318,19809609,0,5
11629785,4012728,0,4
42831238,41780643,0,2
MBK18430735,15895812,0,0
75267278,81934462,0,5
92186097,72528262,0,4
57756140,55374254,0,3
106522022,81934462,0,5
32202167,56369621,0,5
19953261,52029357,0,0
11478291,92197567,0,3
25472096,19591027,0,0
36532152,44149960,0,2
69706635,36610417,0,0
5075654,28628892,0,0
77330907,98409613,0,3
10764534,17818485,0,7
96241854,55725959,0,0
105533249,92243940,0,0
41886944,66771648,0,0
MBK9219879,63102523,0,0
78695645,4373303,0,6
VSP5286850,82543418,0,0
MBK9219879,63102523,0,0
41886944,66771648,0,0
MBK11076174,MBK24452365,0,0
105974810,76969201,0,0
MBK15122723,96287065,0,0
73347958,26093443,0,4
73347958,26093443,0,4
VSP16397950,42648375,0,5
15920562,103411702,0,0
62814398,60082845,0,3
7302208,85264185,1,0
7302208,85264185,1,0
98404080,41780101,0,2
41325190,70965601,0,2
MBK6921588,61654561,0,0
3929062,100820204,0,0
40658868,16989721,0,6
19505742,86865044,0,0
47696351,14019168,0,0
47253270,6613212,0,0
25375732,5825062,0,7
6879778,21461405,0,4
MBK12549406,66457271,0,2
52196372,MBK16349049,0,4
20343410,52970820,0,3
101972592,3515695,0,0
62315952,96410446,0,0
MBK6460693,26093443,0,5
MBK7158295,90873206,0,0
VSP16397950,93713211,0,5
19868232,1470362,0,6
MBK8250739,108737417,0,3
4314955,50845027,0,4
50246261,69271271,0,0
3417632,44696901,0,2
33311374,109089877,0,4
62821583,41946085,0,3
75481343,88885435,0,0
MBK5351267,88958112,0,3
50855656,81934462,0,0
16456208,108969486,0,6
4312428,41667856,0,0
MBK30486492,109491338,0,0
92024943,93660236,0,5
36061520,23545651,0,4
66043955,70971878,0,3
25833077,MBK5354113,1,2
36061520,23545651,0,4
6879778,MBK6258459,0,3
69488067,96677457,0,2
75741360,50787050,1,6
MBK13947514,58668811,0,8
75741360,50787050,1,6
64506730,46921707,0,0
109582177,43786718,0,0
MBK6993140,69975684,0,0
92024943,MBK6397540,0,5
47597811,29447962,0,0
MBK6993140,69975684,0,0
MBK12549406,76234799,0,6
61034747,98705196,0,5
36437025,96969662,0,0
91470813,109322055,0,4
41378734,89651746,0,3
9437782,24488358,0,0
5439443,MBK6836675,0,2
18340683,33913638,0,0
4331350,MBK6172404,0,6
MBK7404963,63125618,0,6
102387134,21539848,0,0
95671929,40430952,1,0
4146976,91462372,0,2
101145783,98670023,0,0
33150882,61164032,0,6
91266428,109511947,0,0
37864449,52441419,0,5
84528200,70377887,0,5
26338143,107162151,0,0
7282016,18667217,0,0
107316789,19727528,0,0
MBK8095589,48887777,0,0
67514782,MBK6470499,0,4
4732839,17628475,1,7
54563849,96042988,0,5
99948776,4267201,0,3
17522822,13931110,0,7
45733914,9216808,0,0
15345641,46458969,0,0
3108769,22364472,0,0
108520859,81934462,0,5
62284768,MBK7512506,0,7
78308095,4321442,0,0
MBK7652311,59543021,0,0
33392593,19727528,0,0
76370659,26093443,0,5
26474937,70381886,0,4
9861320,89610655,0,5
36794895,98653338,0,4
57859827,20909899,0,0
101075684,108533535,0,5
11830641,38889686,0,5
64263430,MBK12023348,0,0
50584955,81934462,0,4
57982827,77371118,0,5
MBK30359323,37157895,0,0
31803534,73241760,0,3
100417832,49830066,0,6
50584955,81934462,0,4
35505625,MBK7599072,0,4
100633847,88356432,0,0
100448380,26093443,0,0
98273501,47504600,0,4
66714186,85358763,0,4
57214037,49496869,0,0
44269784,MBK5585488,0,0
102284218,MBK6643173,0,5
47339649,MBK6472187,0,0
108433566,15875097,0,2
106564787,93910750,0,0
10107877,3094546,0,3
50601839,27847554,0,6
MBK7054879,102775270,0,6
47735400,55935672,0,6
28683865,VSP29926127,0,0
30134194,90559185,0,4
68839119,65585467,0,8
27166432,48298206,0,4
MBK5375433,97503332,0,6
28983023,2585193,0,3
51676282,98535325,0,6
106564787,93910750,0,0
31899115,45825535,0,4
42642231,63319741,0,3
MBK10740775,68315968,0,0
59054762,32796901,0,3
VSP11610200,418675,0,5
10001984,MBK6371433,0,2
67400954,417959,0,5
42108894,10752195,0,3
30237992,65136316,0,0
52537984,7621014,0,0
3730906,52643366,0,5
103275934,98136094,0,2
1417374,88936162,0,0
63992137,7285947,0,0
106564787,93910750,0,0
103275934,98136094,0,2
20664122,41276972,0,0
78062314,81934462,0,6
78556444,8300320,0,0
37686887,43035199,0,3
55935672,109427821,0,5
MBK6921683,31910117,0,3
69783012,24054203,0,3
58763404,109077789,0,0
103592458,84867227,0,7
28857556,14789504,0,5
MBK6641060,57314599,0,3
MBK7179383,MBK5777176,0,0
53163595,104933416,0,7
63546465,32796901,0,0
88756113,69904655,0,0
3094078,17750273,0,0
46156677,102468491,0,0
91095968,92627700,0,0
70903597,106305987,0,0
1169455,MBK5422989,0,0
23113802,79768329,0,4
64752856,38311530,0,0
66546596,80086431,0,0
83982659,15761019,0,0
108466124,33037514,0,0
MBK7790999,MBK8588292,0,0
5480427,MBK5796287,0,0
16148020,26870345,0,0
36425826,92627700,0,4
31756488,92627700,0,4
101530456,88198160,0,3
93272571,27228704,0,5
83831011,44363238,0,6
9802112,VSP14429117,0,8
99454692,81934462,0,0
2776945,108657824,0,0
93272571,27228704,0,5
80325216,96777468,0,6
63546465,55275733,0,0
67019570,21057817,0,7
99396425,MBK5811819,0,0
97370784,61685993,0,6
1825790,27841796,0,3
76431425,26093443,0,4
98527078,103537961,1,6
16632522,59730853,0,0
1994454,7317141,0,4
44029667,105851961,0,5
53083316,20983589,0,4
MBK7343669,18283962,0,0
30912171,26093443,0,6
33736117,3457657,0,5
34645663,87176866,0,0
97147125,27278272,0,2
MBK5570270,68453218,0,4
1961165,MBK11425593,0,6
106564787,93910750,0,0
45785420,4005915,0,0
12476487,12884818,0,4
VSP11680004,93733657,0,7
98645269,87184545,0,0
49787925,59353592,0,4
17116932,11644696,0,0
103037185,43492717,0,0
12461119,50746359,0,2
15595620,81763454,0,3
8451148,27990976,0,2
31692666,4736944,0,5
17116932,11644696,0,0
20945366,MBK7423480,0,5
2144198,46175080,0,3
35002721,10428346,0,0
76722499,79121038,0,6
393496,63464596,0,6
54653381,2698457,0,4
43098607,3493889,0,7
91212231,65839396,0,4
99896120,59366796,0,3
93916488,109463864,0,0
54452762,101074176,0,0
MBK10022823,73015375,0,5
49027853,81934462,0,4
93916488,109463864,0,0
1994454,15648620,0,5
52970474,36122076,0,7
60399240,51643938,0,2
MBK8068705,MBK6050927,0,0
48237977,103581025,0,2
58666504,100353127,0,0
3287149,81934462,0,4
63819968,79076713,0,3
76742733,81286881,0,6
64751123,81934462,0,5
1068640,90702194,0,6
3287149,81934462,0,4
78357299,66771648,0,5
MBK8584004,25979906,0,0
15665209,VSP4974620,0,0
31811304,21810840,0,3
56803385,37255179,0,3
2505650,5044401,0,3
98440827,30584704,0,0
10806089,6422661,0,4
MBK7246268,91674020,0,0
42962797,71642954,0,3
MBK6922110,94804599,0,0
50387185,49499690,0,0
36262456,8522566,0,4
67182732,59220954,0,3
VSP10849244,109027597,0,4
82574969,53622828,0,0
1883026,28465896,0,5
9187906,7751226,0,2
100384955,5727581,0,2
